"childIDs in InduBackups","ChildID","mean_force","mean_disX","mean_disY","bubble_popped"
"477","477","0.052904","43.816","73.442","21"
"478","478","0.067257","48.772","53.584","21"
NA,"480","0.088054","69.519","63.653","21"
"484","484","0.066513","52.666","71.344","21"
"485","485","0.10429","56.604","62.469","21"
"486","486","0.08001","34.681","44.313","21"
"487","487","0.084667","34.018","28.879","21"
"489","489","0.096879","57.614","50.215","21"
"491","491","NaN","NaN","NaN","NaN"
"492","492","NaN","NaN","NaN","NaN"
"493","493","0.098253","47.178","79.669","21"
"494","494","0.13269","284.73","140.08","21"
"495","495","0.069717","62.92","64.877","21"
"496","496","0.14349","69.766","39.697","7"
"497","497","NaN","NaN","NaN","NaN"
"498","498","0.057884","56.912","65.306","21"
"500","500","0.076439","52.413","74.572","21"
"501","501","0.096607","50.308","49.406","21"
"502","502","0.064765","81.344","89.908","21"
"503","503","0.061706","85.294","88.649","21"
"510","510","0.057374","64.001","81.845","21"
"511","511","0.08369","80.111","67.16","21"
"517/536","517/536","0.092775","47.906","51.56","21"
NA,"533","NaN","NaN","NaN","NaN"
"537","537","0.054138","51.595","63.595","21"
"538","538","0.075412","50.379","51.722","21"
"539","539","0.095583","40.764","74.496","21"
"540","540","0.070425","53.257","65.87","21"
"543","543","0.088213","51.391","65.897","21"
"544","544","0.088907","53.064","2.9766","1"
"545","545","0.08128","42.675","80.29","21"
"546","546","0.072361","59.59","52.574","21"
"547","547","NaN","NaN","NaN","NaN"
"548","548","0.092091","75.383","57.585","21"
"549","549","0.092621","34.089","38.576","21"
"550","550","0.0894","86.524","74.994","21"
"551","551","0.091157","96.509","136.83","21"
"552","552","0.10057","71.434","70.961","21"
"553","553","NaN","NaN","NaN","NaN"
"554","554","0.094069","70.752","97.99","19"
"555","555","0.073377","45.823","42.588","21"
"556","556","0.098231","68.525","75.493","21"
"557","557","0.061497","74.231","71.471","21"
"558","558","0.071955","63.047","51.864","21"
"559","559","0.064246","45.897","66.231","21"
"560","560","0.089728","77.167","54.77","21"
"561","561","NaN","NaN","NaN","NaN"
"562","562","NaN","NaN","NaN","NaN"
"563","563","NaN","NaN","NaN","NaN"
"564","564","0.10576","101.98","90.029","21"
"565","565","0.080716","100.07","132.39","9"
"566","566","0.088958","123.18","103.06","21"
"567","567","0.07549","63.851","52.044","21"
"568","568","0.077018","156.4","199.71","21"
"569","569","0.11648","62.858","72.095","21"
"570","570","0.061813","37.744","51.579","21"
"572","571/572","0.073694","37.911","47.49","21"
"573/574","573/574","0.05859","263.15","108.21","21"
"575","575","0.061765","33.919","57.528","21"
"576","576","0.065942","31.792","38.438","21"
"577","577","0.11829","47.753","62.539","21"
"578","578","0.059559","69.14","60.186","21"
"579","579","0.099482","113.85","73.813","21"
"580","580/581","0.075143","43.197","85.323","21"
"582","582","0.097095","214.98","244.46","19"
"627","627","0.055081","65.356","52.312","21"
"647","647","0.080289","96.411","70.228","21"
"655","655","0.07846","42.365","69.014","21"
"656","656","0.073607","76.688","149.45","21"
"658","658","0.08537","50.504","56.555","21"
"663/664","663/664","0.068023","54.68","53.145","21"
"665","665","0.082275","44.737","60.127","21"
"666","666","0.072385","106.03","110.86","21"
"667","667","0.091903","129.83","109.49","21"
"668","668","0.1013","90.207","101.45","21"
"672","672","0.069973","35.925","53.704","21"
"673","673","0.080285","79.203","76.653","21"
"674","674","0.092323","60.904","87.554","21"
"675","675","0.071608","67.806","86.3","21"
"676","676","0.073452","34.069","34.302","21"
"677","677","0.07385","48.344","52.85","21"
"678","678","0.063293","73.377","66.539","21"
"679","679","0.074656","36.487","59.436","21"
"680","680","0.062036","31.885","44.29","21"
"681","681","0.063385","49.033","65.866","21"
"682","682","0.13241","63.211","92.419","21"
"684","684","NaN","NaN","NaN","NaN"
"685","685","0.072705","55.038","53.516","21"
"686","686","0.076158","39.156","65.368","21"
"687","687","0.079591","84.47","71.747","21"
"688","688","0.068083","40.943","63.806","21"
"689","689","0.084766","35.634","61.061","21"
"690","690","0.059845","70.929","69.43","21"
"691","691","0.084964","122.22","136.42","21"
"694/698","694/698","0.04902","41.836","42.533","21"
"695/699","695/699","0.064571","42.96","41.106","21"
NA,"692/696","0.075072","33.971","63.675","21"
"693 /697","693/697","0.063051","45.688","42.966","21"
"701","701","0.076833","39.387","55.146","21"
"702","702","0.061459","80.075","77.191","21"
"703","703","0.061752","43.341","37.304","21"
"704","704","0.12098","85.816","105.47","21"
"705","705","NaN","NaN","NaN","NaN"
"706","706","0.09394","111.11","119.62","14"
"707","707","NaN","NaN","NaN","NaN"
"708","708","0.071324","74.688","115.95","21"
"709","709","0.069812","84.036","80.394","21"
"710","710","0.049242","57.876","61.844","21"
"711","711","0.12007","46.93","87.407","21"
"712","712","0.059708","39.86","59.767","21"
"714","713/714","0.051361","57.934","85.464","21"
"715","715","0.068851","40.125","45.69","21"
"716","716","0.070261","53.366","54.365","21"
"717","717","0.065727","34.846","53.611","21"
"718","718","0.069416","30.663","40.617","21"
"719","719","0.081498","40.432","41.794","21"
"720","720","0.087593","50.591","51.597","21"
"721","721","0.081927","51.015","63.324","21"
"722","722","0.06333","59.696","43.824","21"
"723","723","0.057024","44.975","48.769","21"
"724","724","0.067128","36.527","59.238","21"
NA,"726","0.078231","76.128","84.177","21"
"727","727","0.070688","45.481","59.139","21"
"728","728","0.064827","53.183","65.896","21"
"729","729","0.0927","54.207","58.826","21"
NA,"730/731","0.088993","154.34","161.96","21"
NA,"732/733","0.089148","40.103","66.892","21"
NA,"734","0.12279","164.73","85.698","21"
NA,"736","0.073269","34.509","54.676","21"
NA,"737","0.092939","89.134","88.635","21"
NA,"738","0.090807","92.248","116.73","21"
NA,"739","0.073723","49.528","79.931","21"
NA,NA,NA,NA,NA,NA
NA,"Taken from START Missing Children (10+3+1)",NA,NA,NA,NA
NA,"Sheets with no data",NA,NA,NA,NA
